MAE,RMAE,MSE,RMSE,PSEUDOR2,CommonPartOfCommuters,sha,path
211299457.5704337,0.1596241195791948,2.2852548159966328e+18,1511705929.073718,0.9754546910339396,0.919933576919892,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Random_forest/trade_prediction.csv
4447375642.691945,3.3597266626490003,2.1674614400967773e+21,46556003265.92455,-22.28012191323007,-1.623497723502449,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-01_10-00-16.csv
188015329.3111556,0.1420343514070857,2.0175074446643727e+18,1420389891.7777376,0.9783304937270124,0.9293474700272112,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-04_16-56-36.csv
190387976.4389285,0.1438267445972888,2.051015078098828e+18,1432136543.105729,0.9779705972246124,0.9281662353299336,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-04_21-03-29.csv
,,,,,0.0,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-02_04-38-35.csv
8121373337.539747,6.135212478463666,3.944648023548689e+20,19861137992.44316,-3.236840628126478,0.1377601430639834,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-02_12-58-15.csv
1255438488.723071,0.9484087926797216,8.331196342781945e+19,9127538738.773966,0.1051685489991451,0.301651808580962,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-04-16_21-33-25.csv
254026746.31711632,0.1919020341872897,4.128512352148377e+18,2031874098.498324,0.9556567562862852,0.9004134528522318,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-03_15-34-21.csv
273045736.2616376,0.2062697451132291,5.712031661512541e+18,2389985703.2025404,0.938648600158578,0.891869801538971,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-05-03_03-04-40.csv
345175942.250944,0.2607598075038108,6.394457572938343e+18,2528726472.5427194,0.9313188465026002,0.8582801480965179,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-04-28_01-55-14.csv
574013854.7803943,0.4336331822576393,1.925199491513812e+19,4387709529.485529,0.793219486904787,0.7348832452742925,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Deep_gravity/trade_predictions/prediction_2023-04-21_01-43-03.csv
807478022.1769836,0.6100014162439857,1.9293741027531456e+17,439246411.7956054,0.9999998253203242,0.6936329687086507,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../Gravity_model/trade_prediction.csv
291792178.920558,0.2204315628437576,7.614458263426017e+18,2759430786.1270986,0.9182151463474963,0.8951517996622275,08c34e55d43e65e9e5a0c3e105c2e0809824f848,../GNN_model/DCRNN_OLS_trade_predictions.csv
